School,SchoolCategory,District,Year,mathNLImet,mathLImet,SchoolType,LowIncome,ELL,SpecialEd,Enrollment,NLIGradRate,LIGradRate
DUNLAP ELEMENTARY SC,Elem,SEATTLE PS,2010,42.11,38.89,Public,89.29,27.04,9.69,196,,
DUNLAP ELEMENTARY SC,Elem,SEATTLE PS,2009,57.14,35.51,Public,91.14,24.05,10.13,158,,
DUNLAP ELEMENTARY SC,Elem,SEATTLE PS,2008,70.59,39.29,Public,89.57,32.52,10.43,163,,
DUTCH HILL ELEMENTAR,Elem,SNOHOMISH SD,2010,60.92,46.55,Public,18.94,,12.42,322,,
DUTCH HILL ELEMENTAR,Elem,SNOHOMISH SD,2008,74.91,55,Public,12.28,,14.67,334,,
DUTCH HILL ELEMENTAR,Elem,SNOHOMISH SD,2009,76.16,74,Public,15.87,,11.68,334,,
DWIGHT D EISENHOWER,Elem,VANCOUVER SD,2010,78.29,57.63,Public,43.75,5.15,13.97,272,,
DWIGHT D EISENHOWER,Elem,VANCOUVER SD,2009,78.79,47.75,Public,40.36,5,9.64,280,,
DWIGHT D EISENHOWER,Elem,VANCOUVER SD,2008,85.42,50,Public,41.9,6.72,12.65,253,,
E B WALKER HIGH SCHO,High,PUYALLUP SD,2010,14.29,0,Alternative,37.84,0,,37,30.3,11.15
E B WALKER HIGH SCHO,High,PUYALLUP SD,2009,15.79,0,Alternative,,,,45,25.89,25.42
E B WALKER HIGH SCHO,High,PUYALLUP SD,2008,20,0,Alternative,,,,52,30.53,34.64
E OMAK ELEMENTARY,Elem,OMAK SD,2010,44.9,31.2,Public,72.55,6.72,24.37,357,,
E OMAK ELEMENTARY,Elem,OMAK SD,2008,48.68,31.95,Public,64.75,6.22,17.05,434,,
E OMAK ELEMENTARY,Elem,OMAK SD,2009,52.59,33.49,Public,65.99,7.78,17.29,347,,
EAGLE CREEK ELEMENTA,Elem,ARLINGTON SD,2009,65.64,41.11,Public,31.94,6.94,12.15,288,,
EAGLE CREEK ELEMENTA,Elem,ARLINGTON SD,2008,69.35,46.38,Public,27.01,5.11,14.96,274,,
EAGLE CREEK ELEMENTA,Elem,ARLINGTON SD,2010,69.57,50,Public,36.61,8.66,11.81,254,,
EAGLE HARBOR HIGH SC,High,BAINBRIDGE IS SD,2009,52.63,,Alternative,,,,23,,
EAGLE HARBOR HIGH SC,High,BAINBRIDGE IS SD,2008,68.42,,Alternative,,,,27,,
EAGLE HARBOR HIGH SC,High,BAINBRIDGE IS SD,2010,83.87,,Alternative,,0,,36,,
EAGLE HIGH SCHOOL,Comprehensive,TOPPENISH SD,2008,,4.05,Alternative,,,,85,,55.82
EAGLE HIGH SCHOOL,Comprehensive,TOPPENISH SD,2010,0,7.54,Alternative,99.21,11.81,,254,,93.85
EAGLE HIGH SCHOOL,Comprehensive,TOPPENISH SD,2009,0,13.75,Alternative,,,,213,,64.17
EAGLE ROCK MULTIAGE,Elem,RIVERVIEW SD,2008,75.68,,Public,0,0,,37,,
EAGLE ROCK MULTIAGE,Elem,RIVERVIEW SD,2010,80,,Public,,0,,37,,
EAGLE ROCK MULTIAGE,Elem,RIVERVIEW SD,2009,92.11,,Public,,0,,39,,
EAGLERIDGE ELEMENTAR,Elem,FERNDALE SD,2008,73.99,37.67,Public,45.82,4.02,17.96,323,,
EAGLERIDGE ELEMENTAR,Elem,FERNDALE SD,2010,76.76,41.33,Public,51.33,,24.67,300,,
EAGLERIDGE ELEMENTAR,Elem,FERNDALE SD,2009,79.87,43.38,Public,47.74,,21.6,287,,
EAST FARMS ELEMENTAR,Elem,EAST VALLEY (SPK)SD,2010,58.25,44.19,Public,45.6,,21.24,193,,
EAST FARMS ELEMENTAR,Elem,EAST VALLEY (SPK)SD,2009,72.38,48.05,Public,42.93,,15.76,184,,
EAST FARMS ELEMENTAR,Elem,EAST VALLEY (SPK)SD,2008,74.79,46.88,Public,34.97,,8.74,183,,
EAST GRAYS HARBOR HI,High,ELMA SD,2008,,,Alternative,,,,8,58.93,
EAST GRAYS HARBOR HI,High,ELMA SD,2009,0,0,Alternative,,,,16,62.22,
EAST GRAYS HARBOR HI,High,ELMA SD,2010,0,0,Alternative,,0,,,48.21,9.72
EAST HILL ELEMENTARY,Elem,KENT SD,2009,49.49,36.9,Public,68.96,21.79,13.13,335,,
EAST HILL ELEMENTARY,Elem,KENT SD,2008,50.81,36.2,Public,61.74,24.35,13.04,345,,
EAST HILL ELEMENTARY,Elem,KENT SD,2010,70.13,52.33,Public,72.33,30.67,19.67,300,,
EAST OLYMPIA ELEMENT,Elem,TUMWATER SD,2008,62.09,46.27,Public,28.52,,19.53,256,,
EAST OLYMPIA ELEMENT,Elem,TUMWATER SD,2010,74.38,45.79,Public,39.93,,10.45,268,,
EAST OLYMPIA ELEMENT,Elem,TUMWATER SD,2009,75.14,46.39,Public,35.38,,18.77,277,,
EAST PORT ORCHARD EL,Elem,SOUTH KITSAP SD,2008,69.84,54.07,Public,51.91,,12.6,262,,
EAST PORT ORCHARD EL,Elem,SOUTH KITSAP SD,2009,76.72,60.45,Public,53.78,,13.55,251,,
EAST PORT ORCHARD EL,Elem,SOUTH KITSAP SD,2010,78.32,58.33,Public,50.52,,15.57,289,,
EAST RIDGE ELEMENTAR,Elem,NORTHSHORE SD,2010,90.66,,Public,,,17.67,266,,
EAST RIDGE ELEMENTAR,Elem,NORTHSHORE SD,2009,91.63,,Public,,0,10.66,272,,
EAST RIDGE ELEMENTAR,Elem,NORTHSHORE SD,2008,91.97,,Public,,,11.03,281,,
EAST SIDE ALT,High,CENTRAL KITSAP SD,2009,,,Alternative,,,,16,88,83.33
EAST SIDE ALT,High,CENTRAL KITSAP SD,2008,0,10,Alternative,,,,19,48.21,60
EAST SIDE ALT,High,CENTRAL KITSAP SD,2010,0,30,Alternative,56,,0,25,66.57,
EAST VALLEY CENTRAL,Middle,EAST VALLEY (YAK)SD,2010,46.54,29.56,Public,50,0,11.68,642,,
EAST VALLEY CENTRAL,Middle,EAST VALLEY (YAK)SD,2008,49.32,27.23,Public,47.53,2.59,8,425,,
EAST VALLEY CENTRAL,Middle,EAST VALLEY (YAK)SD,2009,53.12,31.16,Public,47.33,,8.12,431,,
EAST VALLEY ELEMENTA,Middle,EAST VALLEY (YAK)SD,2010,51.94,23.42,Public,46.25,0,20.83,240,,
EAST VALLEY HIGH SCH,High,EAST VALLEY (SPK)SD,2009,39.42,24.56,Public,36.09,,10.95,338,92.64,82.25
EAST VALLEY HIGH SCH,High,EAST VALLEY (SPK)SD,2010,45.29,33.08,Public,45.45,,12.23,319,92.35,77.24
EAST VALLEY HIGH SCH,High,EAST VALLEY (SPK)SD,2008,56.12,33.33,Public,39.33,,9.45,328,96.28,94.69
EAST VALLEY HIGH SCH,High,EAST VALLEY (YAK)SD,2010,38.04,20.65,Public,50.79,,9.52,189,92.79,86.04
EAST VALLEY HIGH SCH,High,EAST VALLEY (YAK)SD,2009,45.93,28.89,Public,40.43,,4.78,230,87.25,73.02
EAST VALLEY HIGH SCH,High,EAST VALLEY (YAK)SD,2008,52.1,31.46,Public,43.64,,11.82,220,87.42,78.19
EAST VALLEY INTERMED,Middle,EAST VALLEY (YAK)SD,2008,47.44,32.03,Public,49.92,6.55,11.76,595,,
EAST VALLEY INTERMED,Middle,EAST VALLEY (YAK)SD,2009,54.49,29.87,Public,52.8,6.85,12.15,642,,
EAST VALLEY MIDDLE S,Middle,EAST VALLEY (SPK)SD,2010,45.83,37.28,Public,60.08,2.88,15.84,486,,
EAST VALLEY MIDDLE S,Middle,EAST VALLEY (SPK)SD,2008,54.5,37.45,Public,55.82,4.54,16.57,507,,
EAST VALLEY MIDDLE S,Middle,EAST VALLEY (SPK)SD,2009,58.1,37.45,Public,54.31,,13.15,464,,
EASTGATE ELEMENTARY,Elem,BELLEVUE SD,2010,74.73,58.06,Public,16.89,7.56,12,225,,
EASTGATE ELEMENTARY,Elem,BELLEVUE SD,2008,77.65,42.86,Public,18.31,6.1,11.74,213,,
EASTGATE ELEMENTARY,Elem,BELLEVUE SD,2009,83.61,46.34,Public,21.03,7.73,10.3,233,,
EASTGATE ELEMENTARY,Elem,KENNEWICK SD,2008,47.37,48.76,Public,57.33,40.52,9.91,232,,
EASTGATE ELEMENTARY,Elem,KENNEWICK SD,2009,48.94,39.33,Public,77.69,33.06,9.92,242,,
EASTGATE ELEMENTARY,Elem,KENNEWICK SD,2010,57.14,43.27,Public,94,30.4,12,250,,
EASTLAKE HIGH SCHOOL,High,LAKE WASHINGTON SD,2010,70.85,71.43,Public,3.14,0,10.99,446,94.91,
EASTLAKE HIGH SCHOOL,High,LAKE WASHINGTON SD,2009,72.81,50,Public,3.14,0,10.48,477,96.94,
EASTLAKE HIGH SCHOOL,High,LAKE WASHINGTON SD,2008,80.45,,Public,,0,6.82,425,92.48,
EASTMONT JUNIOR HIGH,Middle,EASTMONT SD,2010,45.25,28.5,Public,56.17,8.23,14.29,413,,
EASTMONT JUNIOR HIGH,Middle,EASTMONT SD,2008,55.71,34.13,Public,51.43,9.67,13.19,455,,
EASTMONT JUNIOR HIGH,Middle,EASTMONT SD,2009,63.56,30.7,Public,53.01,9.77,12.27,481,,
EASTMONT SENIOR HIGH,High,EASTMONT SD,2010,42.92,25,Public,50.33,8.65,13.53,451,93.69,91.81
EASTMONT SENIOR HIGH,High,EASTMONT SD,2009,53.04,32.24,Public,44.78,6.96,8.58,431,89.05,71.88
EASTMONT SENIOR HIGH,High,EASTMONT SD,2008,63.75,28.99,Public,42.23,9.51,9.98,431,84.69,75.23
EASTON SCHOOL,Comprehensive,EASTON SD,2010,33.33,23.08,Public,50.98,0,,51,,
EASTON SCHOOL,Comprehensive,EASTON SD,2008,35.71,30,Public,42.31,,,52,,
EASTON SCHOOL,Comprehensive,EASTON SD,2009,47.83,16,Public,54.9,,0,51,,
EATONVILLE ELEMENTAR,Elem,EATONVILLE SD,2009,67.59,50,Public,36.63,,6.98,172,,
EATONVILLE ELEMENTAR,Elem,EATONVILLE SD,2010,71.17,47.5,Public,41.45,0,8.81,193,,
EATONVILLE ELEMENTAR,Elem,EATONVILLE SD,2008,71.2,42.59,Public,30.94,,9.39,181,,
EATONVILLE HIGH SCHO,High,EATONVILLE SD,2009,33.33,16.67,Public,25.42,0,13.56,177,78.71,43.45
EATONVILLE HIGH SCHO,High,EATONVILLE SD,2008,38.36,19.23,Public,16.22,,9.73,185,82.46,56.22
EATONVILLE HIGH SCHO,High,EATONVILLE SD,2010,44.44,27.08,Public,30.67,0,9.2,163,80.69,65.17
EATONVILLE MIDDLE SC,Middle,EATONVILLE SD,2008,50.72,36.59,Public,26.09,,9.94,483,,
EATONVILLE MIDDLE SC,Middle,EATONVILLE SD,2010,51.68,32.14,Public,35.65,0,10.97,474,,
EATONVILLE MIDDLE SC,Middle,EATONVILLE SD,2009,51.89,32.7,Public,33.61,,9.54,482,,
ECHO GLEN,Comprehensive,ISSAQUAH SD,2009,,0,Alternative,,,,66,,
ECHO GLEN,Comprehensive,ISSAQUAH SD,2008,0,3.66,Alternative,,,,97,14.63,
ECHO GLEN,Comprehensive,ISSAQUAH SD,2010,0,5,Alternative,92.41,0,41.77,79,,5.04
ECHO LAKE ELEMENTARY,Elem,SHORELINE SD,2008,70.21,58.11,Public,28.57,17.07,10.45,287,,
ECHO LAKE ELEMENTARY,Elem,SHORELINE SD,2010,70.22,49.51,Public,36.73,12.24,13.61,294,,
ECHO LAKE ELEMENTARY,Elem,SHORELINE SD,2009,70.52,53.19,Public,37.1,13.43,12.37,283,,
ECKSTEIN MIDDLE SCHO,Middle,SEATTLE PS,2008,82.99,44.17,Public,14.92,3.63,10.14,1213,,
ECKSTEIN MIDDLE SCHO,Middle,SEATTLE PS,2009,86.35,51.01,Public,13.55,2.71,10.41,1181,,
ECKSTEIN MIDDLE SCHO,Middle,SEATTLE PS,2010,90.18,62.89,Public,15.39,2.29,10.82,1137,,
EDGEMONT JR HIGH,Middle,PUYALLUP SD,2008,61.36,31.58,Public,20.5,0,13.31,278,,
EDGEMONT JR HIGH,Middle,PUYALLUP SD,2009,65.88,27.27,Public,26.99,0,12.46,289,,
EDGEMONT JR HIGH,Middle,PUYALLUP SD,2010,66.13,42,Public,34.97,0,16.43,286,,
EDGERTON ELEMENTARY,Elem,PUYALLUP SD,2010,61.8,43.75,Public,16,,11.29,425,,
EDGERTON ELEMENTARY,Elem,PUYALLUP SD,2009,65.98,50.72,Public,17.18,,10.02,419,,
EDGERTON ELEMENTARY,Elem,PUYALLUP SD,2008,74.85,52.08,Public,13.08,,6.92,390,,
EDISON,Elem,TACOMA SD,2010,45.1,45.34,Public,77.63,10.96,10.96,228,,
EDISON,Elem,TACOMA SD,2009,46.81,39.73,Public,83.21,11.43,10,280,,
EDISON,Elem,TACOMA SD,2008,55.74,43.87,Public,78.6,14.39,10.53,285,,
EDISON ELEMENTARY,Comprehensive,BURLINGTON SD,2010,65,49.44,Public,25.78,0,14.73,353,,
EDISON ELEMENTARY,Comprehensive,BURLINGTON SD,2009,66.54,48.1,Public,23.12,,12.72,346,,
EDISON ELEMENTARY,Comprehensive,BURLINGTON SD,2008,73.58,52.7,Public,22.09,,10.76,344,,
EDISON ELEMENTARY,Elem,CENTRALIA SD,2008,75,61.9,Public,65.22,,,69,,
EDISON ELEMENTARY,Elem,CENTRALIA SD,2010,86.67,67.5,Public,69.84,15.87,,63,,
EDISON ELEMENTARY,Elem,CENTRALIA SD,2009,90.48,62.16,Public,64.41,,,59,,
EDISON ELEMENTARY SC,Elem,KENNEWICK SD,2009,47.67,43.85,Public,59.15,28.51,6.81,235,,
EDISON ELEMENTARY SC,Elem,KENNEWICK SD,2010,48.48,27.91,Public,74.71,26.44,13.41,261,,
EDISON ELEMENTARY SC,Elem,KENNEWICK SD,2008,57.14,44,Public,61.26,28.38,10.36,222,,
EDISON ELEMENTARY SC,Elem,WALLA WALLA SD,2010,50.91,33.05,Public,73.17,16.59,19.51,205,,
EDISON ELEMENTARY SC,Elem,WALLA WALLA SD,2008,51.02,38.36,Public,60.16,,14.63,123,,
EDISON ELEMENTARY SC,Elem,WALLA WALLA SD,2009,66.67,33.33,Public,52.52,,15.11,139,,
EDMONDS CAREER ACCES,High,EDMONDS SD,2009,,,Alternative,,,,15,,
EDMONDS CAREER ACCES,High,EDMONDS SD,2010,0,0,Alternative,0,0,0,,59.28,
EDMONDS CAREER ACCES,High,EDMONDS SD,2008,20,,Alternative,,,,15,,
EDMONDS ELEMENTARY,Elem,EDMONDS SD,2009,62.5,64.86,Public,21.35,,19.1,178,,
EDMONDS ELEMENTARY,Elem,EDMONDS SD,2010,66.43,46.15,Public,21.74,,17.39,184,,
EDMONDS ELEMENTARY,Elem,EDMONDS SD,2008,66.67,55.88,Public,21.3,,19.53,169,,
EDMONDS HOME RESOURC,Comprehensive,EDMONDS SD,2010,21.61,12.24,Alternative,17.3,,,289,71.82,
EDMONDS HOME RESOURC,Comprehensive,EDMONDS SD,2009,22.64,21.62,Alternative,,,,303,70.28,
EDMONDS HOME RESOURC,Comprehensive,EDMONDS SD,2008,26.58,25,Alternative,,,,265,63.16,
EDMONDS INDEPENDENT,High,EDMONDS SD,2008,,,Alternative,,,,7,,
EDMONDS INDEPENDENT,High,EDMONDS SD,2009,0,0,Alternative,,,,,,
EDMONDS INDEPENDENT,High,EDMONDS SD,2010,0,0,Alternative,,0,,,,
EDMONDS WOODWAY HIGH,High,EDMONDS SD,2010,56.1,31.51,Public,22.73,,11.36,396,89.35,87.09
EDMONDS WOODWAY HIGH,High,EDMONDS SD,2008,61.02,38.89,Public,18.22,0,11.86,472,90.51,71.02
EDMONDS WOODWAY HIGH,High,EDMONDS SD,2009,69.98,45.59,Public,14.48,0,7.63,511,93.6,84.39
EDUCATION SERVICE CE,Comprehensive,SEATTLE PS,2010,0,4.76,Alternative,64.58,,,48,,
EDUCATION SERVICE CE,Comprehensive,SEATTLE PS,2009,0,9.38,Alternative,,,,50,,
EDUCATION SERVICE CE,Comprehensive,SEATTLE PS,2008,4.3,8.33,Alternative,,,,134,,
EDUCATIONAL OPPORTUN,High,CLARKSTON SD,2009,5.26,0,Alternative,,,,44,5.66,17.62
EDUCATIONAL OPPORTUN,High,CLARKSTON SD,2008,7.14,5,Alternative,,,,39,14.65,8.85
EDUCATIONAL OPPORTUN,High,CLARKSTON SD,2010,8.33,4,Alternative,70,0,,40,26.53,17.15
EDWARD ZEIGER ELEM,Elem,PUYALLUP SD,2010,73.31,51.28,Public,23.72,,11.11,333,,
EDWARD ZEIGER ELEM,Elem,PUYALLUP SD,2008,74.67,45.07,Public,20.78,,11.69,385,,
EDWARD ZEIGER ELEM,Elem,PUYALLUP SD,2009,77.37,57.47,Public,24.73,,9.78,368,,
EDWIN MARKHAM ELEMEN,Elem,PASCO SD,2010,74.39,48.75,Public,49.09,26.06,13.94,165,,
EDWIN MARKHAM ELEMEN,Elem,PASCO SD,2008,78.05,40.54,Public,48.43,22.64,7.55,159,,
EDWIN MARKHAM ELEMEN,Elem,PASCO SD,2009,78.49,53.85,Public,42.59,20.37,8.64,162,,
EDWIN R OPSTAD ELEME,Elem,SNOQUALMIE VLY SD,2010,58.65,31.82,Public,15.66,0,12.81,281,,
EDWIN R OPSTAD ELEME,Elem,SNOQUALMIE VLY SD,2008,70.39,55.56,Public,13.6,,13.97,272,,
EDWIN R OPSTAD ELEME,Elem,SNOQUALMIE VLY SD,2009,74.45,45.24,Public,15.56,,11.48,270,,
EINSTEIN ELEMENTARY,Elem,LAKE WASHINGTON SD,2010,76.09,21.11,Public,52.04,14.8,19.39,196,,
EINSTEIN ELEMENTARY,Elem,LAKE WASHINGTON SD,2009,83.33,24.32,Public,40.98,18.54,15.61,205,,
EINSTEIN ELEMENTARY,Elem,LAKE WASHINGTON SD,2008,87.23,23.75,Public,38.63,15.45,12.88,233,,
EISENHOWER HIGH SCHO,High,YAKIMA SD,2009,46.33,29.48,Public,63.16,11.09,8.27,532,99.55,
EISENHOWER HIGH SCHO,High,YAKIMA SD,2010,47.53,24.07,Public,67.56,11.64,10.88,524,97.64,
EISENHOWER HIGH SCHO,High,YAKIMA SD,2008,50.25,27.19,Public,57.56,15.5,11.82,516,90.73,87.26
EISENHOWER MIDDLE SC,Middle,EVERETT SD,2008,54.57,38.43,Public,39.95,5.76,11.39,746,,
EISENHOWER MIDDLE SC,Middle,EVERETT SD,2009,64.86,37.91,Public,36.23,4.92,10.32,853,,
EISENHOWER MIDDLE SC,Middle,EVERETT SD,2010,70.73,49.03,Public,37.29,3.28,10.17,885,,
ELEMENTARY ALTERNATI,Comprehensive,CLARKSTON SD,2008,0,,Alternative,,,,11,,
ELEMENTARY ALTERNATI,Comprehensive,CLARKSTON SD,2010,4,,Alternative,0,0,0,26,,
ELEMENTARY ALTERNATI,Comprehensive,CLARKSTON SD,2009,5.56,,Alternative,,,,24,,
ELGER BAY ELEMENTARY,Elem,STANWOOD SD,2009,75.17,61.97,Public,33.18,0,12.11,223,,
ELGER BAY ELEMENTARY,Elem,STANWOOD SD,2008,79.07,65.57,Public,26.07,0,10.68,234,,
ELGER BAY ELEMENTARY,Elem,STANWOOD SD,2010,84.46,65.38,Public,34.51,0,16.37,226,,
ELK PLAIN ELEMENTARY,Elem,BETHEL SD,2009,63.19,59.02,Public,25.1,0,9.47,243,,
ELK PLAIN ELEMENTARY,Elem,BETHEL SD,2008,66.15,59.62,Public,21.31,0,6.56,244,,
ELK PLAIN SCHOOL OF,Elem,BETHEL SD,2010,67.01,64.81,Public,21.34,0,11.86,253,,
ELK RIDGE ELEMENTARY,Elem,WHITE RIVER SD,2009,65.18,53.57,Public,33.53,,13.53,170,,
ELK RIDGE ELEMENTARY,Elem,WHITE RIVER SD,2008,75,54.24,Public,32.78,,15.56,180,,
ELK RIDGE ELEMENTARY,Elem,WHITE RIVER SD,2010,82.05,68.12,Public,37.77,,14.89,188,,
ELLEN OCHOA MIDDLE S,Middle,PASCO SD,2008,22.73,18.83,Public,94.72,45.92,13.31,834,,
ELLEN OCHOA MIDDLE S,Middle,PASCO SD,2009,26.53,20.18,Public,93.76,43.13,13.85,881,,
ELLEN OCHOA MIDDLE S,Middle,PASCO SD,2010,46.94,26.64,Public,94.54,43.59,20.18,897,,
ELLENSBURG HIGH SCHO,High,ELLENSBURG SD,2010,47.13,22.45,Public,24.07,4.15,8.71,241,85.97,76.2
ELLENSBURG HIGH SCHO,High,ELLENSBURG SD,2009,54.1,39.66,Public,24.28,,4.53,243,84.94,63.04
ELLENSBURG HIGH SCHO,High,ELLENSBURG SD,2008,65.7,37.7,Public,27.94,4.86,7.29,247,85.34,77.57
ELLSWORTH ELEMENTARY,Elem,EVERGREEN (CLARK)SD,2010,57.14,34.29,Public,50.22,5.68,19.21,229,,
ELLSWORTH ELEMENTARY,Elem,EVERGREEN (CLARK)SD,2008,66.15,54.21,Public,45.45,8.68,20.66,242,,
ELLSWORTH ELEMENTARY,Elem,EVERGREEN (CLARK)SD,2009,70.8,56.73,Public,49.1,8.56,21.17,222,,
ELMA ELEMENTARY SCHO,Elem,ELMA SD,2010,55.38,44.51,Public,58.49,5.03,22.01,318,,
ELMA ELEMENTARY SCHO,Elem,ELMA SD,2008,55.43,48.24,Public,49.32,3.54,17.71,367,,
ELMA ELEMENTARY SCHO,Elem,ELMA SD,2009,58.94,53.16,Public,52.62,5.85,15.38,325,,
ELMA HIGH SCHOOL,High,ELMA SD,2009,37.36,22.41,Public,40.24,,9.76,164,85.52,87.29
ELMA HIGH SCHOOL,High,ELMA SD,2010,40,17.46,Public,45.14,0,17.36,144,86.46,78.04
ELMA HIGH SCHOOL,High,ELMA SD,2008,48.21,29.55,Public,28.66,,10.98,164,80.95,61.58
ELMA MIDDLE SCHOOL,Middle,ELMA SD,2009,50,31.84,Public,46.04,,12.62,404,,
ELMA MIDDLE SCHOOL,Middle,ELMA SD,2010,50.56,29.19,Public,52.13,3.19,18.88,376,,
ELMA MIDDLE SCHOOL,Middle,ELMA SD,2008,60.5,34.39,Public,44.99,2.71,11.11,369,,
ELMHURST ELEMENTARY,Elem,FRANKLIN PIERCE SD,2009,61.8,56.34,Public,61.86,6.78,11.86,236,,
ELMHURST ELEMENTARY,Elem,FRANKLIN PIERCE SD,2008,62.11,52.99,Public,58.87,4.33,13.85,231,,
ELMHURST ELEMENTARY,Elem,FRANKLIN PIERCE SD,2010,62.12,56.64,Public,67.29,5.14,14.95,214,,
EMERALD HEIGHTS ELEM,Elem,CENTRAL KITSAP SD,2010,82.01,63.04,Public,28.14,2.99,11.98,334,,
EMERALD HEIGHTS ELEM,Elem,CENTRAL KITSAP SD,2008,82.82,52.44,Public,23.78,,13.75,349,,
EMERALD HEIGHTS ELEM,Elem,CENTRAL KITSAP SD,2009,83.91,54.22,Public,25,,14.37,348,,
EMERALD HILLS ELEMEN,Elem,SUMNER SD,2010,65.31,56.14,Public,28.64,,13.59,206,,
EMERALD HILLS ELEMEN,Elem,SUMNER SD,2009,70.21,51.35,Public,21.67,,11.67,180,,
EMERALD HILLS ELEMEN,Elem,SUMNER SD,2008,74.47,53.33,Public,17.34,,15.61,173,,
EMERALD PARK ELEMENT,Elem,KENT SD,2009,69.64,52.21,Public,42.62,10.74,11.07,298,,
EMERALD PARK ELEMENT,Elem,KENT SD,2008,72.73,43.36,Public,41.45,11.84,9.21,304,,
EMERALD PARK ELEMENT,Elem,KENT SD,2010,75.32,54.81,Public,49.04,12.1,16.88,314,,
EMERALD RIDGE HIGH S,High,PUYALLUP SD,2010,47.84,32.35,Public,20.63,0,10.41,509,89.4,57.72
EMERALD RIDGE HIGH S,High,PUYALLUP SD,2008,59.72,36.84,Public,16.29,0,7.87,534,90,89.63
EMERALD RIDGE HIGH S,High,PUYALLUP SD,2009,60.32,38.6,Public,21.03,0,11.03,580,89.87,74.71
EMERSON ELEMENTARY,Elem,PASCO SD,2010,23.08,18.06,Public,95.96,58.07,18.63,322,,
EMERSON ELEMENTARY,Elem,PASCO SD,2009,23.53,19.62,Public,94.31,61.54,11.71,299,,
EMERSON ELEMENTARY,Elem,PASCO SD,2008,41.18,23.68,Public,89.2,55.56,9.88,324,,
EMERSON ELEMENTARY,Elem,SNOHOMISH SD,2010,56.85,31.69,Public,49.1,5.63,20.2,391,,
EMERSON ELEMENTARY,Elem,SNOHOMISH SD,2009,57.54,32.32,Public,40.61,3.99,18.54,426,,
EMERSON ELEMENTARY,Elem,SNOHOMISH SD,2008,64.68,33.33,Public,36.89,4.18,17.17,431,,
EMERSON ELEMENTARY S,Elem,EVERETT SD,2008,63.97,50.77,Public,52.2,12.2,12.88,295,,
EMERSON ELEMENTARY S,Elem,EVERETT SD,2009,68.22,51.82,Public,60.5,15.3,11.03,281,,
EMERSON ELEMENTARY S,Elem,EVERETT SD,2010,73.91,55.63,Public,64.54,18.79,10.64,282,,
EMERSON ELEMENTARY S,Elem,SEATTLE PS,2008,42.42,35.76,Public,83.74,19.21,16.75,203,,
EMERSON ELEMENTARY S,Elem,SEATTLE PS,2009,48.39,39.76,Public,84.98,18.31,19.25,213,,
EMERSON ELEMENTARY S,Elem,SEATTLE PS,2010,61.54,31.91,Public,85.34,16.23,23.56,191,,
ENATAI ELEMENTARY SC,Elem,BELLEVUE SD,2008,81.08,48.15,Public,15.42,8.37,13.22,227,,
ENATAI ELEMENTARY SC,Elem,BELLEVUE SD,2010,88.1,57.14,Public,10.83,5.83,4.58,240,,
ENATAI ELEMENTARY SC,Elem,BELLEVUE SD,2009,90.34,76.92,Public,13.52,5.74,6.97,244,,
ENDEAVOUR ELEMENTARY,Elem,EVERGREEN (CLARK)SD,2010,49.57,42.03,Public,57.24,10.25,18.37,283,,
ENDEAVOUR ELEMENTARY,Elem,EVERGREEN (CLARK)SD,2009,58.12,47.41,Public,55.47,10.19,16.98,265,,
ENDEAVOUR ELEMENTARY,Elem,ISSAQUAH SD,2010,88.92,52.38,Public,5.88,,9.63,374,,
ENDEAVOUR ELEMENTARY,Elem,ISSAQUAH SD,2008,89.3,65.22,Public,6.78,,9.32,354,,
ENDEAVOUR ELEMENTARY,Elem,ISSAQUAH SD,2009,91.91,55.56,Public,4.9,,7.9,367,,
ENDEAVOUR ELEMENTARY,Elem,MUKILTEO SD,2010,83.26,67.44,Public,16.48,7.33,13.55,273,,
ENDEAVOUR ELEMENTARY,Elem,MUKILTEO SD,2009,86.36,60,Public,12.11,6.64,16.8,256,,
ENDEAVOUR ELEMENTARY,Elem,MUKILTEO SD,2008,87.44,92.86,Public,6.22,7.11,11.56,225,,
ENDEAVOUR INTERMEDIA,Comprehensive,FIFE SD,2009,57.21,46.67,Public,51.51,18.1,11.14,431,,
ENDEAVOUR INTERMEDIA,Comprehensive,FIFE SD,2010,58.29,40.82,Public,48.11,14.11,10.08,397,,
ENDEAVOUR INTERMEDIA,Comprehensive,FIFE SD,2008,65.42,50.38,Public,42.5,17,10,400,,
ENDICOTT/ST JOHN ELE,Comprehensive,ENDICOTT SD,2008,48.48,36.67,Public,47.62,0,0,63,,
ENDICOTT/ST JOHN ELE,Comprehensive,ENDICOTT SD,2010,57.14,53.85,Public,39.13,0,15.94,69,,
ENDICOTT/ST JOHN ELE,Comprehensive,ENDICOTT SD,2009,69.44,45.83,Public,40,0,,60,,
ENGLISH CROSSING ELE,Elem,LAKEWOOD SD,2008,59.52,44,Public,34.87,3.08,15.38,390,,
ENGLISH CROSSING ELE,Elem,LAKEWOOD SD,2010,64.73,47.59,Public,42.47,4.38,18.9,365,,
ENGLISH CROSSING ELE,Elem,LAKEWOOD SD,2009,66.82,52.45,Public,40.65,3.79,14.63,369,,
ENTERPRISE ELEMENTAR,Elem,FEDERAL WAY SD,2009,77.04,49.32,Public,37.61,11.93,12.84,218,,
