School,SchoolCategory,District,Year,mathNLImet,mathLImet,SchoolType,LowIncome,ELL,SpecialEd,Enrollment,NLIGradRate,LIGradRate
ADNA ELEMENTARY SCHO,Elem,ADNA SD,2009,75,50,Public,26.32,0,11.18,152,,
ADNA ELEMENTARY SCHOol,Elem,ADNA SD,2010,55.32,41.18,Public,35.17,0,15.86,145,,
ADNA MIDDLE/HIGH SCH,Comprehensive,ADNA SD,2008,43.75,29.55,Public,23.68,0,10.53,190,91.67,
ADNA MIDDLE/HIGH SCH,Comprehensive,ADNA SD,2009,49.57,29.55,Public,27.88,0,7.27,165,100,
ADNA MIDDLE/HIGH SCH,Comprehensive,ADNA SD,2010,54.79,39.22,Public,26.5,,15.5,200,94.91,
AFRICAN AMERICAN ACA,Comprehensive,SEATTLE PS,2008,20.83,22.17,Alternative,,,,231,,
AFRICAN AMERICAN ACA,Comprehensive,SEATTLE PS,2009,22.22,20.59,Alternative,,,,201,,
AHTANUM VALLEY ELEME,Elem,WEST VLY (YAK)SD,2010,53.57,33.66,Public,54.59,0,21.08,185,,
AHTANUM VALLEY ELEME,Elem,WEST VLY (YAK)SD,2009,74.51,50.6,Public,45.55,,15.18,191,,
AHTANUM VALLEY ELEME,Elem,WEST VLY (YAK)SD,2008,77.45,58.57,Public,42.13,,11.24,178,,
AIM HIGH SCHOOL,High,SNOHOMISH SD,2008,0,,Alternative,,,,37,40.32,25
AIM HIGH SCHOOL,High,SNOHOMISH SD,2009,8.7,,Alternative,,,,33,,
AIM HIGH SCHOOL,High,SNOHOMISH SD,2010,11.76,11.76,Alternative,35,,,60,,
AKI KUROSE MIDDLE SC,Middle,SEATTLE PS,2008,31.07,21.67,Public,76.67,14.9,20.3,463,,
AKI KUROSE MIDDLE SC,Middle,SEATTLE PS,2009,45.54,28.15,Public,75.81,17.74,20.05,434,,
AKI KUROSE MIDDLE SC,Middle,SEATTLE PS,2010,47.73,35.26,Public,81.07,15.62,16.36,544,,
ALBERT EINSTEIN MIDD,Middle,SHORELINE SD,2008,69.16,37.41,Public,21.11,5.68,10.96,739,,
ALBERT EINSTEIN MIDD,Middle,SHORELINE SD,2009,74.82,48,Public,22.16,4.1,10.53,731,,
ALBERT EINSTEIN MIDD,Middle,SHORELINE SD,2010,79.19,61.04,Public,25.19,5.48,10.67,675,,
ALC,Comprehensive,SNOHOMISH SD,2008,,,Alternative,,,,4,,
ALC,Comprehensive,SNOHOMISH SD,2009,0,0,Alternative,,,,,,
ALCOTT ELEMENTARY,Elem,LAKE WASHINGTON SD,2009,90.17,,Public,3.26,7.07,5.71,368,,
ALCOTT ELEMENTARY,Elem,LAKE WASHINGTON SD,2010,91.43,21.43,Public,5.14,2.97,8.92,370,,
ALCOTT ELEMENTARY,Elem,LAKE WASHINGTON SD,2008,92.41,42.86,Public,3.84,4.86,6.14,391,,
ALDERCREST ANNEX HOM,Comprehensive,SHORELINE SD,2008,21.74,,Alternative,,,,75,,
ALDERCREST ANNEX HOM,Comprehensive,SHORELINE SD,2009,29.79,,Alternative,,,,53,,
ALDERCREST ANNEX HOM,Comprehensive,SHORELINE SD,2010,42.5,,Alternative,,0,,43,,
ALDERWOOD ELEMENTARY,Elem,BELLINGHAM SD,2010,65.62,45.45,Public,79.87,30.19,15.72,159,,
ALDERWOOD ELEMENTARY,Elem,BELLINGHAM SD,2009,72.73,39.29,Public,72.12,24.85,13.94,165,,
