School,District,SchoolCategory,SchoolType,LowIncome,ELL,Enrollment,mathLImet
DAYBREAK PRIMARY,BATTLE GROUND SD,Elem,Public,40.07,8.353333333,264,51.05666667
DAYTON ELEMENTARY SC,DAYTON SD,Elem,Public,49.81666667,0,152,43.83666667
DEARBORN PARK ELEMEN,SEATTLE PS,Elem,Public,82.96333333,27.46,182,36.26333333
DECATUR HIGH SCHOOL,FEDERAL WAY SD,High,Public,34.78333333,5.403333333,363.3333333,30.83333333
DEER PARK HIGH SCHOO,DEER PARK SD,High,Public,47.20333333,0,176,36.16
DELONG,TACOMA SD,Elem,Public,67.54,9.446666667,215,53.33666667
DENNY INTERNATIONAL,SEATTLE PS,Middle,Public,65.38,12.82,702,47.67
DENNY MIDDLE SCHOOL,SEATTLE PS,Middle,Public,63.855,14.445,625,25.355
DES MOINES ELEMENTAR,HIGHLINE SD,Elem,Public,37.38666667,8.14,247.3333333,46.84666667
DICK SCOBEE ELEMENTA,AUBURN SD,Elem,Public,68.88,14.05,192,43.11666667
DICKINSON ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,14.61666667,0,287.3333333,49.57333333
DIMMITT MIDDLE SCHOO,RENTON SD,Middle,Public,70.62,12.4,882.3333333,24.94666667
DISCOVERY ELEMENTARY,ISSAQUAH SD,Elem,Public,2.69,3.195,351.6666667,70
DISCOVERY ELEMENTARY,MUKILTEO SD,Elem,Public,68.22666667,21.06,313.3333333,50.64666667
DISCOVERY LAB SCHOOL,YAKIMA SD,Comprehensive,Public,37.93,6.59,163.3333333,31.55666667
DISCOVERY MIDDLE SCH,VANCOUVER SD,Middle,Public,66.91333333,1.016666667,708.6666667,28.90666667
DORIS STAHL JUNIOR H,PUYALLUP SD,Middle,Public,23.66666667,0,596.6666667,37.81666667
DOROTHY FOX,CAMAS SD,Elem,Public,21.68666667,3.605,289,46.96
DOWNING,TACOMA SD,Elem,Public,42.07666667,0,159.3333333,42.9
DUNLAP ELEMENTARY SC,SEATTLE PS,Elem,Public,90,27.87,172.3333333,37.89666667
DWIGHT D EISENHOWER,VANCOUVER SD,Elem,Public,42.00333333,5.623333333,268.3333333,51.79333333
E OMAK ELEMENTARY,OMAK SD,Elem,Public,67.76333333,6.906666667,379.3333333,32.21333333
EAGLE CREEK ELEMENTA,ARLINGTON SD,Elem,Public,31.85333333,6.903333333,272,45.83
EAGLERIDGE ELEMENTAR,FERNDALE SD,Elem,Public,48.29666667,4.02,303.3333333,40.79333333
EAST HILL ELEMENTARY,KENT SD,Elem,Public,67.67666667,25.60333333,326.6666667,41.81
EAST VALLEY CENTRAL,EAST VALLEY (YAK)SD,Middle,Public,48.28666667,1.295,499.3333333,29.31666667
EAST VALLEY ELEMENTA,EAST VALLEY (YAK)SD,Middle,Public,46.25,0,240,23.42
EAST VALLEY INTERMED,EAST VALLEY (YAK)SD,Middle,Public,51.36,6.7,618.5,30.95
EAST VALLEY MIDDLE S,EAST VALLEY (SPK)SD,Middle,Public,56.73666667,3.71,485.6666667,37.39333333
EASTGATE ELEMENTARY,BELLEVUE SD,Elem,Public,18.74333333,7.13,223.6666667,49.08666667
EASTGATE ELEMENTARY,KENNEWICK SD,Elem,Public,76.34,34.66,241.3333333,43.78666667
EASTLAKE HIGH SCHOOL,LAKE WASHINGTON SD,High,Public,3.14,0,449.3333333,60.715
EASTMONT JUNIOR HIGH,EASTMONT SD,Middle,Public,53.53666667,9.223333333,449.6666667,31.11
EASTMONT SENIOR HIGH,EASTMONT SD,High,Public,45.78,8.373333333,437.6666667,28.74333333
EASTON SCHOOL,EASTON SD,Comprehensive,Public,49.39666667,0,51.33333333,23.02666667
EATONVILLE ELEMENTAR,EATONVILLE SD,Elem,Public,36.34,0,182,46.69666667
EATONVILLE HIGH SCHO,EATONVILLE SD,High,Public,24.10333333,0,175,20.99333333
EATONVILLE MIDDLE SC,EATONVILLE SD,Middle,Public,31.78333333,0,479.6666667,33.81
ECHO GLEN,ISSAQUAH SD,Comprehensive,Alternative,92.41,0,80.66666667,2.886666667
ECHO LAKE ELEMENTARY,SHORELINE SD,Elem,Public,34.13333333,14.24666667,288,53.60333333
ECKSTEIN MIDDLE SCHO,SEATTLE PS,Middle,Public,14.62,2.876666667,1177,52.69
EDGEMONT JR HIGH,PUYALLUP SD,Middle,Public,27.48666667,0,284.3333333,33.61666667
EDISON,TACOMA SD,Elem,Public,79.81333333,12.26,264.3333333,42.98
EDISON ELEMENTARY,BURLINGTON SD,Comprehensive,Public,23.66333333,0,347.6666667,50.08
EDISON ELEMENTARY SC,KENNEWICK SD,Elem,Public,65.04,27.77666667,239.3333333,38.58666667
EDISON ELEMENTARY SC,WALLA WALLA SD,Elem,Public,61.95,16.59,155.6666667,34.91333333
EDMONDS WOODWAY HIGH,EDMONDS SD,High,Public,18.47666667,0,459.6666667,38.66333333
EDWIN MARKHAM ELEMEN,PASCO SD,Elem,Public,46.70333333,23.02333333,162,47.71333333
EDWIN R OPSTAD ELEME,SNOQUALMIE VLY SD,Elem,Public,14.94,0,274.3333333,44.20666667
EINSTEIN ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,43.88333333,16.26333333,211.3333333,23.06
EISENHOWER HIGH SCHO,YAKIMA SD,High,Public,62.76,12.74333333,524,26.91333333
EISENHOWER MIDDLE SC,EVERETT SD,Middle,Public,37.82333333,4.653333333,828,41.79
ELGER BAY ELEMENTARY,STANWOOD SD,Elem,Public,31.25333333,0,227.6666667,64.30666667
ELK PLAIN ELEMENTARY,BETHEL SD,Elem,Public,23.205,0,243.5,59.32
ELK PLAIN SCHOOL OF,BETHEL SD,Elem,Public,21.34,0,253,64.81
ELLEN OCHOA MIDDLE S,PASCO SD,Middle,Public,94.34,44.21333333,870.6666667,21.88333333
ELLENSBURG HIGH SCHO,ELLENSBURG SD,High,Public,25.43,4.505,243.6666667,33.27
ELLSWORTH ELEMENTARY,EVERGREEN (CLARK)SD,Elem,Public,48.25666667,7.64,231,48.41
ELMA ELEMENTARY SCHO,ELMA SD,Elem,Public,53.47666667,4.806666667,336.6666667,48.63666667
ELMA HIGH SCHOOL,ELMA SD,High,Public,38.01333333,0,157.3333333,23.14
ELMA MIDDLE SCHOOL,ELMA SD,Middle,Public,47.72,2.95,383,31.80666667
ELMHURST ELEMENTARY,FRANKLIN PIERCE SD,Elem,Public,62.67333333,5.416666667,227,55.32333333
EMERALD HEIGHTS ELEM,CENTRAL KITSAP SD,Elem,Public,25.64,2.99,343.6666667,56.56666667
EMERALD PARK ELEMENT,KENT SD,Elem,Public,44.37,11.56,305.3333333,50.12666667
EMERALD RIDGE HIGH S,PUYALLUP SD,High,Public,19.31666667,0,541,35.93
EMERSON ELEMENTARY,PASCO SD,Elem,Public,93.15666667,58.39,315,20.45333333
EMERSON ELEMENTARY,SNOHOMISH SD,Elem,Public,42.2,4.6,416,32.44666667
EMERSON ELEMENTARY S,EVERETT SD,Elem,Public,59.08,15.43,286,52.74
EMERSON ELEMENTARY S,SEATTLE PS,Elem,Public,84.68666667,17.91666667,202.3333333,35.81
ENATAI ELEMENTARY SC,BELLEVUE SD,Elem,Public,13.25666667,6.646666667,237,60.73666667
ENDEAVOUR ELEMENTARY,EVERGREEN (CLARK)SD,Elem,Public,56.355,10.22,274,44.72
ENDEAVOUR ELEMENTARY,MUKILTEO SD,Elem,Public,11.60333333,7.026666667,251.3333333,73.43333333
ENDEAVOUR INTERMEDIA,FIFE SD,Comprehensive,Public,47.37333333,16.40333333,409.3333333,45.95666667
ENDICOTT/ST JOHN ELE,ENDICOTT SD,Comprehensive,Public,42.25,0,64,45.45
ENGLISH CROSSING ELE,LAKEWOOD SD,Elem,Public,39.33,3.75,374.6666667,48.01333333
ENTERPRISE ELEMENTAR,FEDERAL WAY SD,Elem,Public,36.58,11.89333333,232.6666667,50.71
ENTERPRISE MIDDLE SC,RICHLAND SD,Middle,Public,18.24,1.17,822,32.15333333
ENUMCLAW MIDDLE SCHO,ENUMCLAW SD,Middle,Public,27.64666667,2.45,543.6666667,43.64666667
EPHRATA HIGH SCHOOL,EPHRATA SD,High,Public,42.81666667,7.41,179,35.04
EPHRATA MIDDLE SCHOO,EPHRATA SD,Middle,Public,49.58666667,4.363333333,374.3333333,38.22666667
ESQUIRE HILLS ELEMEN,CENTRAL KITSAP SD,Elem,Public,39.5,5.93,271,51.62666667
EVERETT HIGH SCHOOL,EVERETT SD,High,Public,38.94666667,6.69,390,32.76
EVERGREEN ELEMENTARY,BETHEL SD,Elem,Public,63.47,14.28,374,43.99
EVERGREEN ELEMENTARY,EDMONDS SD,Elem,Public,40.755,9.625,160.5,34.52
EVERGREEN ELEMENTARY,PENINSULA SD,Elem,Public,57.95333333,0,140.6666667,53.19
EVERGREEN ELEMENTARY,SEDRO-WOOLLEY SD,Elem,Public,52.24,8.693333333,300.6666667,38.98
EVERGREEN ELEMENTARY,SHELTON SD,Elem,Public,81.35,32.52333333,211.6666667,33.38666667
EVERGREEN HEIGHTS EL,AUBURN SD,Elem,Public,56.01,16.75,186.6666667,49.62
EVERGREEN HIGH SCHOO,EVERGREEN (CLARK)SD,High,Public,41.42666667,5.22,466.3333333,29.99
EVERGREEN JUNIOR HIG,LAKE WASHINGTON SD,Middle,Public,13.10666667,0,494.6666667,44.85
EVERGREEN MIDDLE SCH,EVERETT SD,Middle,Public,47.12333333,6.033333333,1010.666667,46.92666667
EVERSON ELEMENTARY,NOOKSACK SD,Elem,Public,59.54333333,19.6,126,47.02333333
EXPLORER MIDDLE SCHO,MUKILTEO SD,Middle,Public,58.50333333,13.73333333,840.6666667,34.73666667
FAIRMOUNT ELEMENTARY,MUKILTEO SD,Elem,Public,63.14666667,18.93666667,314.6666667,58.07
FAIRVIEW JUNIOR HIGH,CENTRAL KITSAP SD,Middle,Public,38.22666667,3.99,401.3333333,42.66
FAIRWOOD ELEMENTARY,KENT SD,Elem,Public,35.47,5.845,239.6666667,45.07333333
FAWCETT,TACOMA SD,Elem,Public,69.28333333,7.23,207.3333333,53.67
FEDERAL WAY HIGH SCH,FEDERAL WAY SD,High,Public,48.66,8.43,375.3333333,31.35
FERN HILL,TACOMA SD,Elem,Public,73.26,14.34,166,50.67
FERNWOOD ELEMENTARY,NORTHSHORE SD,Elem,Public,12.99333333,3.15,327.3333333,59.41333333
FERRIS HIGH SCHOOL,SPOKANE SD,High,Public,33.35666667,4.296666667,417.6666667,34.56666667
FERRUCCI JR HIGH,PUYALLUP SD,Middle,Public,28.41,0,550.6666667,42.25666667
FIFE HIGH SCHOOL,FIFE SD,High,Public,31.34333333,5.073333333,296,34.72666667
FINLEY ELEMENTARY,FINLEY SD,Elem,Public,73.75666667,13.62,212.6666667,53.66
FINLEY MIDDLE SCHOOL,FINLEY SD,Middle,Public,62.29333333,7.903333333,228,30.26333333
FINN HILL JUNIOR HIG,LAKE WASHINGTON SD,Middle,Public,18.99666667,0,281,42.54
FIR GROVE CHILDRENS,VANCOUVER SD,Comprehensive,Alternative,75,0,43,6.98
FIRCREST ELEMENTARY,EVERGREEN (CLARK)SD,Elem,Public,46.36666667,11.45,232.6666667,53.23333333
FIRGROVE ELEMENTARY,PUYALLUP SD,Elem,Public,44.03,8.246666667,417.6666667,42.96
FIRST CREEK MIDDLE S,TACOMA SD,Middle,Public,84.48,14.3,825,17.91
FISHER ELEMENTARY SC,LYNDEN SD,Elem,Public,53.81,11.98333333,188,57.47666667
FISHERS LANDING ELEM,EVERGREEN (CLARK)SD,Elem,Public,16.44666667,3.535,349,79.54666667
FOOTHILLS MIDDLE SCH,WENATCHEE SD,Middle,Public,41.48666667,9.606666667,586.3333333,32.60333333
FORDS PRAIRIE ELEMEN,CENTRALIA SD,Elem,Public,63.25333333,8.02,122.6666667,68.37
FORKS ELEMENTARY SCH,QUILLAYUTE VLY SD,Elem,Public,69.42333333,12.64333333,259.6666667,38.63
FORKS MIDDLE SCHOOL,QUILLAYUTE VLY SD,Middle,Public,61.04,7.906666667,254.3333333,25.34
FORT VANCOUVER HIGH,VANCOUVER SD,High,Public,67.57,14.94666667,355.6666667,25.37
FOSS,TACOMA SD,High,Public,62.98666667,3.82,313.3333333,22.83666667
FOSTER SENIOR HIGH S,TUKWILA SD,High,Public,66.71666667,29.04,227.6666667,21.48666667
FRANK WAGNER ELEMENT,MONROE SD,Elem,Public,62.64,22.28333333,336.6666667,31.12666667
FRANKLIN ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,7.546666667,0,312.3333333,49.94333333
FRANKLIN ELEMENTARY,PULLMAN SD,Elem,Public,36.33,10.85,141.3333333,57.69333333
FRANKLIN ELEMENTARY,SPOKANE SD,Elem,Public,41.24666667,6.81,200.6666667,46.76333333
FRANKLIN HIGH SCHOOL,SEATTLE PS,High,Public,58.83,13.26666667,295.3333333,31.72666667
FRANKLIN MIDDLE SCHO,YAKIMA SD,Middle,Public,82.95333333,13.43,810,37.45333333
FRANTZ COE ELEMENTAR,SEATTLE PS,Elem,Public,11.91,4.68,235,70.37
FREDERICKSON ELEMENT,BETHEL SD,Elem,Public,46.67,4.13,315,47.06
FREEMAN ELEMENTARY S,FREEMAN SD,Elem,Public,20.96,0,190.6666667,60.69
FREEMAN HIGH SCHOOL,FREEMAN SD,High,Public,15.87333333,0,81.66666667,39.59333333
FREEMAN MIDDLE SCHOO,FREEMAN SD,Middle,Public,20.22333333,0,240.3333333,40.42333333
FRIDAY HARBOR ELEMEN,SAN JUAN ISSD,Elem,Public,35.07333333,5.716666667,204,55.96666667
FRONTIER JR HIGH,BETHEL SD,Middle,Public,29.24,0,588,37.57333333
FRONTIER MIDDLE SCHO,EVERGREEN (CLARK)SD,Middle,Public,40.3,3.663333333,1002,40.73666667
FRONTIER MIDDLE SCHO,MOSES LAKE SD,Middle,Public,61.67,5.066666667,715,33.54
FROST ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,33.40333333,10.20333333,250.6666667,49.38333333
FRUIT VALLEY ELEMENT,VANCOUVER SD,Elem,Public,85.37666667,17.51666667,110,34.95333333
FRYELANDS ELEMENTARY,MONROE SD,Elem,Public,25.75,6.615,259,35.57333333
GAISER MIDDLE SCHOOL,VANCOUVER SD,Middle,Public,51.18666667,0.83,839,30.41666667
GARFIELD ELEMENTARY,EVERETT SD,Elem,Public,70.82333333,9.276666667,188.6666667,41.99333333
GARFIELD ELEMENTARY,SPOKANE SD,Elem,Public,65.51333333,6.27,242.6666667,63.68666667
GARFIELD ELEMENTARY,TOPPENISH SD,Elem,Public,99.82333333,34.47333333,198.3333333,39.26666667
GARFIELD ELEMENTARY,YAKIMA SD,Elem,Public,95.38333333,43.13666667,239.6666667,42.60666667
GARFIELD HIGH SCHOOL,SEATTLE PS,High,Public,29.92666667,5.13,413.6666667,44.25666667
GARRISON MIDDLE SCHO,WALLA WALLA SD,Middle,Public,57.73333333,13.38666667,621,24.65333333
GARRY MIDDLE SCHOOL,SPOKANE SD,Middle,Public,69.14,6.313333333,594,39.13
GATEWAY MIDDLE SCHOO,EVERETT SD,Middle,Public,18.59333333,1.225,801,54.55333333
GATEWOOD ELEMENTARY,SEATTLE PS,Elem,Public,39.44,7.3,150,36.20333333
GATZERT ELEMENTARY S,SEATTLE PS,Elem,Public,91.245,26.155,132.5,45.465
GAULT,TACOMA SD,Middle,Public,85.755,5.14,340.5,19.135
GEIGER,TACOMA SD,Elem,Public,68.12,11.54,90.66666667,29.03
GENEVA ELEMENTARY SC,BELLINGHAM SD,Elem,Public,24.92666667,0,266,54.19666667
GEORGE C MARSHALL EL,VANCOUVER SD,Elem,Public,54.07333333,6.856666667,202.6666667,39.3
GEORGE T. DANIEL ELE,KENT SD,Elem,Public,76.82333333,26.66,259,47.81666667
GESS ELEMENTARY,CHEWELAH SD,Elem,Public,64.34,0,186.6666667,49.89333333
GILBERT ELEMENTARY S,YAKIMA SD,Elem,Public,73.79,14.8,205,47.05333333
GILDO REY ELEMENTARY,AUBURN SD,Elem,Public,75.57,24.43,212,72.51333333
GLACIER PARK ELEMENT,TAHOMA SD,Elem,Public,10.24,2.78,448,70.93333333
GLACIER VIEW JUNIOR,PUYALLUP SD,Middle,Public,20.495,0,557,46.345
GLENRIDGE ELEMENTARY,KENT SD,Elem,Public,48.43,14.04333333,274.6666667,54.82333333
GLENWOOD HEIGHTS PRI,BATTLE GROUND SD,Elem,Public,41.41,13.31666667,330,47.65333333
GLOBAL CONNECTIONS H,HIGHLINE SD,High,Public,55.16333333,26.29,78.33333333,32.64666667
GLOVER MIDDLE SCHOOL,SPOKANE SD,Middle,Public,62.55333333,1.813333333,676.6666667,39.81333333
GOLDENDALE MIDDLE SC,GOLDENDALE SD,Middle,Public,56.70333333,3.07,325.6666667,40.02333333
GOV JOHN ROGERS HIGH,PUYALLUP SD,High,Public,20.54666667,0,611,32.27
GRAHAM ELEMENTARY,BETHEL SD,Elem,Public,29.76,0,431.3333333,53.74
GRAHAM HILL ELEMENTA,SEATTLE PS,Elem,Public,55.42666667,15.18666667,154,49.21666667
GRAHAM KAPOWSIN HIGH,BETHEL SD,High,Public,26.90333333,0,467.6666667,24.74333333
GRAINGER ELEMENTARY,OKANOGAN SD,Elem,Public,62.58666667,7.573333333,230,35.63666667
GRAND COULEE DAM MID,GRAND COULEE SD,Middle,Public,58.56666667,0,190,24.05666667
GRAND MOUND ELEMENTA,ROCHESTER SD,Elem,Public,50.31666667,5.066666667,520.6666667,52.49666667
GRAND RIDGE ELEMENTA,ISSAQUAH SD,Elem,Public,6.6,3.17,375.3333333,47.415
GRANDVIEW HIGH SCHOO,GRANDVIEW SD,High,Public,74.34,12.15,220,23.9
GRANDVIEW MIDDLE SCH,GRANDVIEW SD,Middle,Public,80.37,19.59,742.6666667,20.89
GRANGER HIGH SCHOOL,GRANGER SD,High,Public,90.74,24.05333333,108.3333333,15.9
GRANGER MIDDLE SCHOO,GRANGER SD,Middle,Public,92.63333333,30.12333333,461,24.03666667
GRANITE FALLS HIGH S,GRANITE FALLS SD,High,Public,34.35333333,0,183.6666667,30.04333333
GRANITE FALLS MIDDLE,GRANITE FALLS SD,Middle,Public,37.90333333,0,530.6666667,29.91
GRANT ELEMENTARY,EPHRATA SD,Elem,Public,45.71,7.71,166.6666667,64.73666667
GRANT ELEMENTARY,SPOKANE SD,Elem,Public,83.59333333,8.476666667,228.6666667,52.84
GRANT ELEMENTARY SCH,EASTMONT SD,Elem,Public,57.78,26.03333333,182,69.92333333
GRANT STREET ELEMENT,PORT TOWNSEND SD,Elem,Public,51.4,0,48.66666667,24.07
GRANTHAM ELEMENTARY,CLARKSTON SD,Elem,Public,81.80666667,0,111,55.88666667
GRAPEVIEW ELEMENTARY,GRAPEVIEW SD,Comprehensive,Public,37.23666667,0,141.3333333,45.56
GRASS LAKE ELEMENTAR,KENT SD,Elem,Public,19.62333333,3.79,312.6666667,43.71
GRAY,TACOMA SD,Middle,Public,73.90333333,5.99,600.3333333,25.88666667
GREEN GABLES ELEMENT,FEDERAL WAY SD,Elem,Public,30.41,7.143333333,200.6666667,50.11
GREEN LAKE ELEMENTAR,SEATTLE PS,Elem,Public,27.49333333,0,110.3333333,55.58
GREEN MOUNTAIN ELEME,CENTRAL KITSAP SD,Elem,Public,29.29333333,0,270.3333333,47.96333333
GREEN MOUNTAIN SCHOO,GREEN MOUNTAIN SD,Comprehensive,Public,32.27,0,72.33333333,47.8
GREEN PARK ELEMENTAR,WALLA WALLA SD,Elem,Public,67.61666667,18.51,228.3333333,44.19333333
GREENACRES ELEMENTAR,CENTRAL VALLEY SD,Elem,Public,39.89333333,7.036666667,335.3333333,54.95333333
GREENACRES MIDDLE SC,CENTRAL VALLEY SD,Middle,Public,28.33666667,1.903333333,701.6666667,47.79333333
GREENWOOD ELEMENTARY,CLOVER PARK SD,Elem,Public,67.75666667,6.85,135,51.04333333
GREENWOOD ELEMENTARY,SEATTLE PS,Elem,Public,51.09666667,0,122.6666667,44.16666667
GREGORY HEIGHTS ELEM,HIGHLINE SD,Elem,Public,38.41666667,8.363333333,310,37.51333333
GRIFFIN SCHOOL,GRIFFIN SD,Comprehensive,Public,16.24,0,453,45.23
HALLER MIDDLE SCHOOL,ARLINGTON SD,Middle,Public,22.46333333,2.023333333,594.3333333,48.20333333
HALLETT ELEMENTARY,MEDICAL LAKE SD,Elem,Public,38.43333333,0,286.3333333,55.68333333
HAMILTON INTERNATION,SEATTLE PS,Middle,Public,47.73666667,8.763333333,732.6666667,40.67666667
HANFORD HIGH SCHOOL,RICHLAND SD,High,Public,18.96333333,3.21,356.6666667,33.84
HARBOR RIDGE MIDDLE,PENINSULA SD,Middle,Public,18.97,0,522.6666667,46.49
HARBOUR POINTE MIDDL,MUKILTEO SD,Middle,Public,17.09666667,3.883333333,797,54.72666667
HARMONY ELEMENTARY S,EVERGREEN (CLARK)SD,Elem,Public,32.44,9.02,402,58.10666667
HARNEY ELEMENTARY SC,VANCOUVER SD,Elem,Public,74.83333333,14.43333333,182,41.32333333
HARRAH ELEMENTARY SC,MOUNT ADAMS SD,Elem,Public,91.13666667,9.473333333,316.3333333,17.03333333
HARRISON MIDDLE SCHO,SUNNYSIDE SD,Middle,Public,86.46333333,19.21,690.3333333,31.98
HARRY S TRUMAN ELEME,VANCOUVER SD,Elem,Public,52.89333333,6.753333333,276.6666667,51.44
HARVARD ELEMENTARY,FRANKLIN PIERCE SD,Elem,Public,74.38333333,20.42666667,215.3333333,37.71
HATHAWAY ELEMENTARY,WASHOUGAL SD,Elem,Public,58.16333333,4.22,222.3333333,46.67333333
HAVERMALE HIGH SCHOO,SPOKANE SD,High,Alternative,59.46,0,108.3333333,7.073333333
HAWKINS MIDDLE SCHOO,NORTH MASON SD,Middle,Public,43.85666667,2.04,446,29.78666667
HAWTHORNE ELEMENTARY,EVERETT SD,Elem,Public,86.48333333,36.40333333,215,45.85333333
HAWTHORNE ELEMENTARY,KENNEWICK SD,Elem,Public,61.23,18.42333333,243,50.05666667
HAWTHORNE ELEMENTARY,SEATTLE PS,Elem,Public,82.07,23.68666667,113.6666667,22.85666667
HAY ELEMENTARY SCHOO,SEATTLE PS,Elem,Public,14.915,0,208,78.41
HAYES FREEDOM HIGH S,CAMAS SD,High,Public,44.56,0,44,24.07333333
HAZEL DELL ELEMENTAR,VANCOUVER SD,Elem,Public,59.96,8.26,238,42.99
HAZEL VALLEY ELEMENT,HIGHLINE SD,Elem,Public,52.73,19.77333333,351.6666667,42.92666667
HAZELWOOD ELEMENTARY,AUBURN SD,Elem,Public,41.83666667,10.06333333,281.3333333,64.33333333
HAZELWOOD ELEMENTARY,EDMONDS SD,Elem,Public,35.32666667,8.306666667,242.3333333,48
HAZELWOOD ELEMENTARY,RENTON SD,Elem,Public,13.81666667,5.24,233.6666667,42.16666667
HAZEN SENIOR HIGH SC,RENTON SD,High,Public,30.29333333,6.643333333,338.3333333,39.26
HEALTH SCIENCES & HU,HIGHLINE SD,High,Public,61.53666667,15.66,83.66666667,33.11333333
HEARTHWOOD ELEMENTAR,EVERGREEN (CLARK)SD,Elem,Public,49.82,6.34,253.6666667,51.33666667
HEATHERWOOD MIDDLE S,EVERETT SD,Middle,Public,19.27,2.683333333,855,40.44
HEDDEN ELEMENTARY SC,FIFE SD,Elem,Public,38.14,6.763333333,347.3333333,54.97333333
HEIGHTS ELEMENTARY,CLARKSTON SD,Elem,Public,30.16333333,0,234.3333333,48.41
HELEN B. STAFFORD EL,TACOMA SD,Elem,Public,73.49,11.01333333,206.3333333,45.89
HELEN HALLER ELEMENT,SEQUIM SD,Elem,Public,47.09333333,3.2,328,52.12666667
HENRY M. JACKSON HIG,EVERETT SD,High,Public,14.36666667,2.62,506.3333333,46.45
HERITAGE HIGH SCHOOL,EVERGREEN (CLARK)SD,High,Public,44.04666667,5.003333333,511.3333333,30.53333333
HIAWATHA ELEMENTARY,OTHELLO SD,Elem,Public,87.86,49.77,367,31.54
HIDDEN CREEK ELEMENT,SOUTH KITSAP SD,Elem,Public,30.04333333,0,312,54.02333333
HIDDEN RIVER MIDDLE,MONROE SD,Middle,Public,15.86666667,0,284.6666667,48.57
HIGHLAND HIGH SCHOOL,HIGHLAND SD,High,Public,72.04666667,10.75,95,30.2
HIGHLAND JUNIOR HIGH,HIGHLAND SD,Middle,Public,71.74666667,9.8,186.3333333,35.14333333
HIGHLAND MIDDLE SCHO,BELLEVUE SD,Middle,Public,40.82,14.77,507,44.12333333
HIGHLAND PARK ELEMEN,SEATTLE PS,Elem,Public,77.74333333,17.77,192,46.00666667
HIGHLAND TERRACE ELE,SHORELINE SD,Elem,Public,16.70333333,7.215,249.3333333,59.11333333
HIGHLANDS ELEMENTARY,RENTON SD,Elem,Public,77.13,28.94666667,278,33.03
HIGHLANDS MIDDLE SCH,KENNEWICK SD,Middle,Public,52.58333333,9.77,789,33.82
HIGHLINE HIGH SCHOOL,HIGHLINE SD,High,Public,45.12666667,10.64333333,323.6666667,32.17666667
HILLCREST ELEMENTARY,LAKE STEVENS SD,Elem,Public,45.9,8.27,308.3333333,41.04
HILLCREST ELEMENTARY,OAK HARBOR SD,Elem,Public,27.27333333,0,299,60.52
HILLSIDE ELEMENTARY,CLOVER PARK SD,Elem,Public,81.66666667,4.13,241.6666667,45.66333333
HILLTOP ELEMENTARY,EDMONDS SD,Elem,Public,18.95,5.76,277.6666667,50.55333333
HILLTOP ELEMENTARY,HIGHLINE SD,Elem,Public,66.45666667,20.67,332.3333333,37.00333333
HILTON ELEMENTARY SC,ZILLAH SD,Elem,Public,55.80333333,12,105.6666667,53.14666667
HOCKINSON HIGH SCHOO,HOCKINSON SD,High,Public,17.28,0,181.6666667,44.21666667
HOLLYWOOD HILL ELEME,NORTHSHORE SD,Elem,Public,6.283333333,0,212.3333333,34.52
HOME BASED,TACOMA SD,Comprehensive,Alternative,19.4,0,64.5,0
HOME CHOICE ACADEMY,EVERGREEN (CLARK)SD,Comprehensive,Alternative,13.55,0,130,39.98
HOMELINK RIVER,BATTLE GROUND SD,Comprehensive,Alternative,12.3,0,219,41.34
HOOD CANAL ELEM & JU,HOOD CANAL SD,Comprehensive,Public,87.17666667,0,211.3333333,26.6
HOOVER ELEMENTARY SC,YAKIMA SD,Elem,Public,88.44666667,23.82,251.6666667,35.45333333
HOQUIAM MIDDLE SCHOO,HOQUIAM SD,Middle,Public,59.15,0,358,28.78333333
HORIZON ELEMENTARY,MUKILTEO SD,Elem,Public,79.99,32.42666667,342.3333333,35.12
HORIZON ELEMENTARY S,KENT SD,Elem,Public,41.42333333,16.03666667,317.6666667,48.28666667
HORIZON MIDDLE SCHOO,CENTRAL VALLEY SD,Middle,Public,23.68333333,0,426,56.81
HORIZON MIDDLE SCHOO,FERNDALE SD,Middle,Public,50.35,3.08,378.6666667,42.97666667
HORSE HEAVEN HILLS M,KENNEWICK SD,Middle,Public,30.56333333,3.65,895,35.55333333
HOUSEL MIDDLE SCHOOL,PROSSER SD,Middle,Public,59.05666667,10.42,650.3333333,40.96
HUDSON'S BAY HIGH SC,VANCOUVER SD,High,Public,49.41666667,0,371,20.99
HUDTLOFF MIDDLE SCHO,CLOVER PARK SD,Middle,Public,57.21666667,8.27,617.6666667,42.85333333
HULAN L WHITSON ELEM,WHITE SALMON VLY SD,Elem,Public,56.07666667,18.96666667,183,39.07
HUNT,TACOMA SD,Middle,Public,61.82333333,0,385.3333333,25.29333333
HUNTINGTON MIDDLE SC,KELSO SD,Middle,Public,54.45666667,2.32,529.3333333,30.24
ICICLE RIVER MIDDLE,CASCADE SD,Middle,Public,48.58333333,7.616666667,286.6666667,65.91333333
ILALKO ELEMENTARY SC,AUBURN SD,Elem,Public,45.85333333,9.353333333,285.6666667,56.08333333
ILLAHEE ELEMENTARY S,EVERGREEN (CLARK)SD,Elem,Public,20.45333333,5.383333333,376,52.31
