School,District,SchoolCategory,SchoolType,LowIncome,ELL,Enrollment,mathLImet
BEACON HILL ELEMENTA,KELSO SD,Elem,Public,46.41333333,6.293333333,259,54.94333333
BEACON HILL INTERNAT,SEATTLE PS,Elem,Public,73.39,32.45,197.3333333,58.40333333
BEAR CREEK ELEMENTAR,NORTHSHORE SD,Elem,Public,5.48,0,275,65.155
BEAVER LAKE MIDDLE S,ISSAQUAH SD,Middle,Public,4.096666667,1.17,1032.666667,57.99
BELFAIR ELEMENTARY,NORTH MASON SD,Elem,Public,38.08,0,256.6666667,56.81333333
BELL ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,28.20666667,12.57333333,210,57.61
BELLEVUE HIGH SCHOOL,BELLEVUE SD,High,Public,9.786666667,6.913333333,332.6666667,67.70666667
BELLINGHAM HIGH SCHO,BELLINGHAM SD,High,Public,26.93333333,0,277.6666667,43.59333333
BEMISS,SPOKANE SD,Elem,Public,81.62333333,10.15333333,264.3333333,61.98333333
BENJAMIN FRANKLIN EL,VANCOUVER SD,Elem,Public,35.24,8.33,117.3333333,28.55333333
BENNETT ELEMENTARY S,BELLEVUE SD,Elem,Public,8.513333333,5.1,195.3333333,59.40333333
BENSON HILL ELEMENTA,RENTON SD,Elem,Public,50.86333333,12.52333333,269,48.47
BESS HERIAN ELEMENTA,CUSICK SD,Elem,Public,58.31666667,0,95.33333333,28.61333333
BETHEL HIGH SCHOOL,BETHEL SD,High,Public,31.90333333,0,427.3333333,23.19333333
BETHEL JUNIOR HIGH,BETHEL SD,Middle,Public,33.5,0,526.6666667,32.87666667
BEVERLY ELEMENTARY,EDMONDS SD,Elem,Public,34.14,13.25666667,311.3333333,49.29333333
BEVERLY PARK ELEM AT,HIGHLINE SD,Elem,Public,72.61333333,21.24666667,260,33.64333333
BIRCHWOOD ELEMENTARY,BELLINGHAM SD,Elem,Public,65.41,9.993333333,160,44.83
BIRNEY,TACOMA SD,Elem,Public,67.51333333,12.47333333,201.6666667,42.86333333
BLACK DIAMOND ELEMEN,ENUMCLAW SD,Elem,Public,26.24,0,139.6666667,37.86666667
